Index,Bab,Kategori,Kanji,Kana,Romaji,Arti,Kelas Kata,Konjugasi,Transitivitas,Catatan Tambahan
1,1,Pronomina,私,わたし,watashi,Saya (Formal),Kata Ganti,,,
2,1,Pronomina,あなた,あなた,anata,Anda (Formal),Kata Ganti,,,
3,1,Pronomina,あの人,あのひと,ano hito,Orang itu,Kata Ganti,,,
4,1,Pronomina (Hormat),あの方,あのかた,ano kata,Orang itu (Hormat / Sopan) / Beliau,Kata Ganti,,,
5,1,Gelar / Profesi,先生,せんせい,sensei,"(Panggilan) Orang yang dihormati [Guru, Dokter, Ahli, dll.]",Kata Benda,,,Tidak digunakan untuk menyebut profesi diri sendiri
6,1,Profesi,教師,きょうし,kyoushi,"Guru (profesi, untuk diri sendiri)",Kata Benda,,,Digunakan untuk menyebut profesi diri sendiri
7,1,Profesi,学生,がくせい,gakusei,Siswa / Murid (Mahasiswa),Kata Benda,,,Umum
8,1,Profesi,生徒,せいと,seito,"Siswa / Murid (SD, SMP, SMA)",Kata Benda,,,Lebih spesifik
9,1,Pendidikan,小学校,しょうがっこう,shougakkou,SD,Kata Benda,,,Sekolah dasar
10,1,Pendidikan,中学校,ちゅうがっこう,chuugakkou,SMP,Kata Benda,,,Sekolah menengah pertama
11,1,Pendidikan,高等学校,こうとうがっこう,koutougakkou,SMA,Kata Benda,,,Dapat disingkat menjadi 高校（こうこう）
12,1,Pendidikan,高校,こうこう,koukou,SMA (singkatan),Kata Benda,,,Singkatan dari 高等学校
13,1,Pendidikan,専門学校,せんもんがっこう,senmongakkou,Sekolah Kejuruan (Diploma),Kata Benda,,,
14,1,Pendidikan,大学,だいがく,daigaku,Universitas,Kata Benda,,,
15,1,Pendidikan,大学院,だいがくいん,daigakuin,Pascasarjana,Kata Benda,,,
16,1,Siswa,小学生,しょうがくせい,shougakusei,Siswa SD,Kata Benda,,,
17,1,Siswa,中学生,ちゅうがくせい,chuugakusei,Siswa SMP,Kata Benda,,,
18,1,Siswa,高校生,こうこうせい,koukousei,Siswa SMA,Kata Benda,,,
19,1,Siswa,大学生,だいがくせい,daigakusei,Mahasiswa (S1) / Siswa sekolah kejuruan,Kata Benda,,,
20,1,Siswa,大学院生,だいがくいんせい,daigakuinsei,Mahasiswa S2 / S3,Kata Benda,,,
21,1,Tempat / Profesi,会社,かいしゃ,kaisha,Perusahaan,Kata Benda,,,
22,1,Profesi,会社員,かいしゃいん,kaishain,Karyawan / Pegawai perusahaan,Kata Benda,,,
23,1,Profesi,○○の社員,○○のしゃいん,○○ no shain,Karyawan perusahaan ○○,Kata Benda,,,"Contoh: ABCのしゃいん, NHKのしゃいん"
24,1,Tempat,銀行,ぎんこう,ginkou,Bank,Kata Benda,,,
25,1,Profesi,銀行員,ぎんこういん,ginkouin,Pegawai bank,Kata Benda,,,
26,1,Profesi,医者,いしゃ,isha,Dokter,Kata Benda,,,
27,1,Tempat,病院,びょういん,byouin,Rumah Sakit,Kata Benda,,,
28,1,Tempat,美容院,びよういん,biyouin,Salon Kecantikan,Kata Benda,,,Jangan tertukar dengan 病院（びょういん）
29,1,Kata Tanya,誰,だれ,dare,Siapa?,Kata Tanya,,,Kasual
30,1,Kata Tanya (Hormat),どなた,どなた,donata,Siapa? (Hormat / Sopan),Kata Tanya,,,
31,1,Kata Tanya,何歳,なんさい,nansai,Usia berapa?,Kata Tanya,,,Kasual
32,1,Kata Tanya (Hormat),おいくつ,おいくつ,oikutsu,Usia berapa? (Hormat / Sopan),Kata Tanya,,,
33,1,Kata Tanya,何,なに／なん,nani / nan,Apa,Kata Tanya,,,"なに saat berdiri sendiri, なん saat diikuti oleh ですか"
34,1,Kata Tanya (Sopan),何ですか,なんですか,nan desu ka,Apa? (Sopan),Kata Tanya,,,
35,1,Ekspresi Jawaban,はい,はい,hai,Iya (konfirmasi kebenaran) [Formal],Ekspresi,,,
36,1,Ekspresi Jawaban,いいえ,いいえ,iie,Tidak / Bukan [Formal],Ekspresi,,,
37,1,Usia,～歳,～さい,~sai,[...] tahun (usia),Kata Bantu,,,Digunakan setelah angka
38,1,Salam,初めまして,はじめまして,hajimemashite,Perkenalkan / Salam kenal (Ucapan awal),Ekspresi,,,Digunakan saat pertemuan pertama
39,1,Salam,どうぞよろしくお願いします,どうぞよろしくおねがいします,douzo yoroshiku onegaishimasu,Salam Kenal / Senang berkenalan / Mohon bantuan kedepannya,Ekspresi,,,Ucapan akhir perkenalan
40,1,Frasa,～から来ました,～からきました,~kara kimashita,Datang dari / Berasal dari ...,Frasa,,,"Menunjukkan asal tempat, tidak tergantung lokasi saat ini"
41,1,Frasa,～出身です,～しゅっしんです,~shusshin desu,Asal dari ...,Frasa,,,"Menunjukkan tempat asal, tidak tergantung lokasi saat ini"
42,1,Ekspresi,失礼ですが,しつれいですが,shitsurei desu ga,Permisi / Maaf (untuk bertanya informasi),Ekspresi,,,Digunakan sebelum bertanya sebagai bentuk kesopanan
43,1,Pertanyaan,お名前は？,おなまえは？,onamae wa?,Nama Anda?,Pertanyaan,,,Kasual sopan
44,1,Pertanyaan,お名前は何ですか？,おなまえはなんですか？,onamae wa nan desu ka,Nama Anda [Apa]?,Pertanyaan,,,Sopan
45,1,Perkenalan,こちらは～さんです,こちらは～さんです,kochira wa ~san desu,Ini adalah Bapak / Ibu / Saudara ~,Frasa,,,Digunakan saat memperkenalkan orang lain
46,1,Negara,アメリカ,アメリカ,amerika,Amerika Serikat,Kata Benda,,,
47,1,Negara,イギリス,イギリス,igirisu,Inggris,Kata Benda,,,
48,1,Negara,インド,インド,indo,India,Kata Benda,,,
49,1,Negara,インドネシア,インドネシア,indonesia,Indonesia,Kata Benda,,,
50,1,Negara,タイ,タイ,tai,Thailand,Kata Benda,,,
51,1,Negara,ドイツ,ドイツ,doitsu,Jerman,Kata Benda,,,
52,1,Negara,ブラジル,ブラジル,burajiru,Brazil,Kata Benda,,,
53,1,Negara,日本,にほん,nihon,Jepang,Kata Benda,,,Kanji alternatif: 日本（にっぽん）
54,1,Negara,韓国,かんこく,kankoku,Korea Selatan,Kata Benda,,,
55,1,Negara,北朝鮮,きたちょうせん,kitachousen,Korea Utara,Kata Benda,,,
56,1,Negara,中国,ちゅうごく,chuugoku,China,Kata Benda,,,
57,1,Negara,台湾,たいわん,taiwan,Taiwan,Kata Benda,,,
58,1,Kewarganegaraan,アメリカ人,アメリカじん,amerikajin,Orang Amerika Serikat,Kata Benda,,,Nama negara + じん
59,1,Kewarganegaraan,インドネシア人,インドネシアじん,indonesiajin,Orang Indonesia,Kata Benda,,,
60,1,Kewarganegaraan,日本人,にほんじん,nihonjin,Orang Jepang,Kata Benda,,,
61,1,Angka,〇／零,れい／ゼロ,rei / zero,Nol,Angka,,,Dua bentuk umum: れい (rei) & katakana ゼロ (zero)
62,1,Angka,一,いち,ichi,Satu,Angka,,,
63,1,Angka,二,に,ni,Dua,Angka,,,
64,1,Angka,三,さん,san,Tiga,Angka,,,
65,1,Angka,四,よん／し,yon / shi,Empat,Angka,,,Dua bacaan umum
66,1,Angka,五,ご,go,Lima,Angka,,,
67,1,Angka,六,ろく,roku,Enam,Angka,,,
68,1,Angka,七,なな／しち,nana / shichi,Tujuh,Angka,,,Dua bacaan umum
69,1,Angka,八,はち,hachi,Delapan,Angka,,,
70,1,Angka,九,きゅう／く,kyuu / ku,Sembilan,Angka,,,Dua bacaan umum
71,1,Angka,十,じゅう,juu,Sepuluh,Angka,,,
72,1,Angka,十一,じゅういち,juuichi,Sebelas,Angka,,,
73,1,Angka,十二,じゅうに,juuni,Dua belas,Angka,,,
74,1,Angka,十三,じゅうさん,juusan,Tiga belas,Angka,,,
75,1,Angka,十五,じゅうご,juugo,Lima belas,Angka,,,
76,1,Angka,十八,じゅうはち,juuhachi,Delapan belas,Angka,,,
77,1,Angka,十九,じゅうきゅう／じゅうく,juukyuu / juuku,Sembilan belas,Angka,,,Dua pelafalan
78,1,Angka,二十,にじゅう,nijuu,Dua puluh,Angka,,,
79,1,Angka,二十一,にじゅういち,nijuuichi,Dua puluh satu,Angka,,,
80,1,Angka,二十二,にじゅうに,nijuuni,Dua puluh dua,Angka,,,
81,1,Angka,二十五,にじゅうご,nijuugo,Dua puluh lima,Angka,,,
82,1,Angka,二十九,にじゅうきゅう／にじゅうく,nijuukyuu / nijuuku,Dua puluh sembilan,Angka,,,Dua pelafalan
83,1,Angka,三十,さんじゅう,sanjuu,Tiga puluh,Angka,,,
84,1,Angka,四十,よんじゅう,yonjuu,Empat puluh,Angka,,,
85,1,Angka,九十,きゅうじゅう,kyuujuu,Sembilan puluh,Angka,,,
86,1,Angka,九十九,きゅうじゅうきゅう／きゅうじゅうく,kyuujuukyuu / kyuujuuku,Sembilan puluh sembilan,Angka,,,Dua pelafalan
87,1,Usia,一歳,いっさい,issai,Satu tahun,Angka,,,Perubahan khusus dari いちさい
88,1,Usia,二歳,にさい,nisai,Dua tahun,Angka,,,
89,1,Usia,三歳,さんさい,sansai,Tiga tahun,Angka,,,
90,1,Usia,四歳,よんさい,yonsai,Empat tahun,Angka,,,
91,1,Usia,五歳,ごさい,gosai,Lima tahun,Angka,,,
92,1,Usia,六歳,ろくさい,rokusai,Enam tahun,Angka,,,
93,1,Usia,七歳,ななさい,nanasai,Tujuh tahun,Angka,,,
94,1,Usia,八歳,はっさい,hassai,Delapan tahun,Angka,,,Perubahan khusus dari はちさい
95,1,Usia,九歳,きゅうさい,kyuusai,Sembilan tahun,Angka,,,
96,1,Usia,十歳,じゅっさい／じっさい,jussai / jissai,Sepuluh tahun,Angka,,,Dua pelafalan khusus
97,1,Usia,十一歳,じゅういっさい,juuissai,Sebelas tahun,Angka,,,
98,1,Usia,十五歳,じゅうごさい,juugosai,Lima belas tahun,Angka,,,
99,1,Usia,十八歳,じゅうはっさい,juuhassai,Delapan belas tahun,Angka,,,
100,1,Usia,二十歳,はたち／にじゅっさい／にじっさい,hatachi / nijussai / nijissai,Dua puluh tahun,Angka,,,はたち bentuk khusus & lazim digunakan untuk usia 20
101,1,Usia,二十五歳,にじゅうごさい,nijuugosai,Dua puluh lima tahun,Angka,,,
102,1,Usia,三十歳,さんじゅっさい／さんじっさい,sanjussai / sanjissai,Tiga puluh tahun,Angka,,,Dua pelafalan
103,1,Usia,四十歳,よんじゅっさい／よんじっさい,yonjussai / yonjissai,Empat puluh tahun,Angka,,,Dua pelafalan
104,1,Budaya,成人式,せいじんしき,seijinshiki,Upacara Hari Kedewasaan,Kata Benda,,,"Umur dewasa: Dulu 20 tahun, kini 18 tahun (di Jepang modern)"
105,2,Pronomina Penunjuk,これ,これ,kore,Ini,Kata Ganti,,,Benda dekat pembicara
106,2,Pronomina Penunjuk,それ,それ,sore,Itu,Kata Ganti,,,Benda dekat lawan bicara
107,2,Pronomina Penunjuk,あれ,あれ,are,Itu (jauh dari pembicara & lawan bicara),Kata Ganti,,,Jauh dari pembicara dan lawan bicara
108,2,Penunjuk Kata Benda,この,この,kono,Ini + [Kata benda],Determiner,,,Selalu diikuti oleh kata benda
109,2,Penunjuk Kata Benda,その,その,sono,Itu + [Kata benda],Determiner,,,Selalu diikuti oleh kata benda
110,2,Penunjuk Kata Benda,あの,あの,ano,Itu (jauh) + [Kata benda],Determiner,,,Selalu diikuti oleh kata benda
111,2,Kata Benda,本,ほん,hon,Buku umum,Kata Benda,,,
112,2,Kata Benda,教科書,きょうかしょ,kyoukasho,Buku paket,Kata Benda,,,
113,2,Kata Benda,辞書,じしょ,jisho,Kamus,Kata Benda,,,
114,2,Kata Benda,雑誌,ざっし,zasshi,Majalah,Kata Benda,,,
115,2,Kata Benda,新聞,しんぶん,shinbun,Surat kabar,Kata Benda,,,
116,2,Kata Benda,ノート,ノート,nooto,Buku catatan,Kata Benda,,,
117,2,Kata Benda,手帳,てちょう,techou,Buku kecil (agenda),Kata Benda,,,
118,2,Kata Benda,名刺,めいし,meishi,Kartu nama,Kata Benda,,,
119,2,Ekspresi,名刺交換,めいしこうかん,meishi koukan,Tukar kartu nama,Frasa,,,
120,2,Kata Benda,カード,カード,kaado,Kartu,Kata Benda,,,
121,2,Kata Benda,鉛筆,えんぴつ,enpitsu,Pensil,Kata Benda,,,
122,2,Kata Benda,シャープペンシル,シャープペンシル,shaapupenshiru,Pensil mekanik,Kata Benda,,,
123,2,Kata Benda,ボールペン,ボールペン,boorupen,Pulpen / Ballpoint,Kata Benda,,,
124,2,Kata Benda,鍵,かぎ,kagi,Kunci,Kata Benda,,,
125,2,Kata Benda,時計,とけい,tokei,Jam (umum),Kata Benda,,,
126,2,Kata Benda,腕時計,うでどけい,udedokei,Jam tangan,Kata Benda,,,
127,2,Kata Benda,傘,かさ,kasa,Payung,Kata Benda,,,
128,2,Kata Benda,鞄,かばん,kaban,Tas (umum),Kata Benda,,,
129,2,Kata Benda,CD,CD,shii dii,CD,Kata Benda,,,
130,2,Kata Benda,テレビ,テレビ,terebi,Televisi,Kata Benda,,,
131,2,Kata Benda,ラジオ,ラジオ,rajio,Radio,Kata Benda,,,
132,2,Kata Benda,カメラ,カメラ,kamera,Kamera,Kata Benda,,,
133,2,Kata Benda,コンピューター,コンピューター,konpyuutaa,Komputer,Kata Benda,,,
134,2,Kata Benda,車,くるま,kuruma,Mobil,Kata Benda,,,
135,2,Kata Benda,自動車,じどうしゃ,jidousha,Mobil (formal),Kata Benda,,,Selalu diikuti oleh kata benda
136,2,Kata Benda,机,つくえ,tsukue,"Meja (ada laci, desk)",Kata Benda,,,
137,2,Kata Benda,テーブル,テーブル,teeburu,"Meja (tanpa laci, table)",Kata Benda,,,
138,2,Kata Benda,椅子,いす,isu,Kursi,Kata Benda,,,
139,2,Kata Benda,チョコレート,チョコレート,chokoreeto,Cokelat,Kata Benda,,,
140,2,Kata Benda,コーヒー,コーヒー,koohii,Kopi,Kata Benda,,,
141,2,Kata Benda,コピー,コピー,kopii,Fotokopi,Kata Benda,,,
142,2,Kata Benda (Hormat),お土産,おみやげ,omiyage,Oleh-oleh,Kata Benda,,,Penghormatan dengan awalan お
143,2,Kata Benda (Hormat),お金,おかね,okane,Uang,Kata Benda,,,
144,2,Kata Benda (Hormat),お酒,おさけ,osake,Sake,Kata Benda,,,
145,2,Kata Benda (Hormat),お湯,おゆ,oyu,Air panas,Kata Benda,,,
146,2,Kata Benda (Hormat),お冷,おひや,ohiya,Air dingin,Kata Benda,,,
147,2,Kata Benda (Hormat),お茶,おちゃ,ocha,Teh hijau,Kata Benda,,,
148,2,Bahasa,英語,えいご,eigo,Bahasa Inggris,Kata Benda,,,
149,2,Bahasa,日本語,にほんご,nihongo,Bahasa Jepang,Kata Benda,,,
150,2,Bahasa,インドネシア語,インドネシアご,indonesiago,Bahasa Indonesia,Kata Benda,,,
151,2,Bahasa,ドイツ語,ドイツご,doitsugo,Bahasa Jerman,Kata Benda,,,
152,2,Bahasa,スペイン語,スペインご,supeingo,Bahasa Spanyol,Kata Benda,,,
153,2,Bahasa,中国語,ちゅうごくご,chuugokugo,Bahasa Mandarin / China,Kata Benda,,,
154,2,Bahasa,韓国語,かんこくご,kankokugo,Bahasa Korea Selatan,Kata Benda,,,
155,2,Ekspresi,そう,そう,sou,Begitu,Ekspresi,,,Untuk menyatakan persetujuan atau penegasan
156,2,Ekspresi,あのう,あのう,anou,Ehmm... (digunakan saat ragu atau ingin menarik perhatian),Ekspresi,,,
157,2,Ekspresi,えっ,えっ,e,Eh (terkejut),Ekspresi,,,
158,2,Ekspresi,どうぞ,どうぞ,douzo,Silakan,Ekspresi,,,
159,2,Ekspresi,どうもありがとうございます,どうもありがとうございます,doumo arigatou gozaimasu,Terima kasih banyak,Ekspresi,,,Formal dan sopan
160,2,Ekspresi,ありがとうございます,ありがとうございます,arigatou gozaimasu,Terima kasih (formal),Ekspresi,,,
161,2,Ekspresi,そうですか,そうですか,sou desu ka,Oh begitu ya? / Oh begitu kah?,Ekspresi,,,Nada intonasi menentukan makna emosional
162,2,Ekspresi,違います,ちがいます,chigaimasu,Bukan / Tidak / Salah,Kata Kerja,Godan (I),Jidoushi (Intransitif),Digunakan untuk mengoreksi atau menyangkal pernyataan
163,2,Ekspresi,あ,あ,a,Ah! (tersadar),Ekspresi,,,
164,2,Ekspresi,これからお世話になります,これからおせわになります,kore kara osewa ni narimasu,"Mulai sekarang, mohon bantuannya",Ekspresi,,,Digunakan saat memasuki lingkungan baru
165,2,Ekspresi,今までお世話になりました,いままでおせわになりました,ima made osewa ni narimashita,Terima kasih bantuannya selama ini,Ekspresi,,,Digunakan saat berpisah atau keluar dari lingkungan lama
166,2,Kata Benda,世話,せわ,sewa,Merawat / Menjaga / Membantu,Kata Benda,,,Digunakan dalam ekspresi seperti お世話になります
167,2,Ekspresi,こちらこそ,こちらこそ,kochira koso,Saya juga ...,Ekspresi,,,Ungkapan membalas kesopanan
168,2,Ekspresi,どういたしまして,どういたしまして,dou itashimashite,Sama-sama,Ekspresi,,,Formal
169,2,Ekspresi,いえいえ,いえいえ,ieie,Sama-sama / Ah tidak apa-apa,Ekspresi,,,Kasual
170,2,Ekspresi,とんでもありません,とんでもありません,tondemo arimasen,Sama-sama / Ah tidak sama sekali,Ekspresi,,,
171,2,Ekspresi,とんでもございません,とんでもございません,tondemo gozaimasen,Sama-sama / Ah tidak sama sekali (hormat/sopan),Ekspresi,,,Bentuk sopan dari とんでもありません
172,3,Pronomina Tempat,ここ,ここ,koko,Sini,Kata Ganti,,,Dekat pembicara
173,3,Pronomina Tempat,こちら,こちら,kochira,Sini (sopan),Kata Ganti,,,
174,3,Pronomina Tempat,そこ,そこ,soko,Situ,Kata Ganti,,,Dekat lawan bicara
175,3,Pronomina Tempat,そちら,そちら,sochira,Situ (sopan),Kata Ganti,,,
176,3,Pronomina Tempat,あそこ,あそこ,asoko,Sana,Kata Ganti,,,Jauh dari pembicara & lawan bicara
177,3,Pronomina Tempat,あちら,あちら,achira,Sana (sopan),Kata Ganti,,,
178,3,Kata Tanya Tempat,どこ,どこ,doko,Di mana,Kata Tanya,,,Kasual
179,3,Tempat,教室,きょうしつ,kyoushitsu,Ruang kelas,Kata Benda,,,
180,3,Tempat,食堂,しょくどう,shokudou,Kantin,Kata Benda,,,
181,3,Tempat,事務所,じむしょ,jimusho,Ruang kantor,Kata Benda,,,
182,3,Tempat,会議室,かいぎしつ,kaigishitsu,Ruang rapat,Kata Benda,,,
183,3,Kegiatan,会議,かいぎ,kaigi,Rapat,Kata Benda,,,
184,3,Tempat,～室,～しつ,~shitsu,Ruangan,Kata Bantu,,,Digunakan sebagai sufiks untuk ruangan
185,3,Tempat,受付,うけつけ,uketsuke,Meja informasi,Kata Benda,,,
186,3,Tempat,ロビー,ロビー,robii,Lobi,Kata Benda,,,
187,3,Tempat,部屋,へや,heya,Kamar,Kata Benda,,,
188,3,Tempat,お風呂,おふろ,ofuro,Bak mandi / Tempat mandi,Kata Benda,,,Mengandung awalan hormat お
189,3,Tempat,トイレ,トイレ,toire,Toilet,Kata Benda,,,
190,3,Tempat,お手洗い,おてあらい,otearai,Toilet (sopan),Kata Benda,,,Secara harfiah: tempat mencuci tangan
191,3,Kata Dasar,手,て,te,Tangan,Kata Benda,,,
192,3,Kata Kerja Dasar,洗い,あらい,arai,Mencuci,Kata Kerja,Godan (I),Tadoushi (Transitif),Bentuk akar dari 洗います
193,3,Tempat,階段,かいだん,kaidan,Tangga,Kata Benda,,,
194,3,Tempat,エスカレーター,エスカレーター,esukareetaa,Eskalator,Kata Benda,,,Tangga berjalan
195,3,Tempat,エレベーター,エレベーター,erebeetaa,Lift / Elevator,Kata Benda,,,
196,3,Konsep,自動,じどう,jidou,Otomatis,Kata Benda,,,
197,3,Konsep,販売,はんばい,hanbai,Penjualan,Kata Benda,,,
198,3,Akhiran,～機,～き,~ki,Mesin,Kata Bantu,,,Digunakan untuk menyebutkan jenis mesin
199,3,Benda,自動販売機,じどうはんばいき,jidouhanbaiki,Mesin penjual otomatis (vending machine),Kata Benda,,,
200,3,Benda,電話,でんわ,denwa,Telepon,Kata Benda,,,
201,3,Benda,携帯電話,けいたいでんわ,keitaidenwa,Ponsel,Kata Benda,,,
202,3,Benda,スマホ,スマホ,sumaho,Smartphone,Kata Benda,,,Singkatan dari スマートフォン
203,3,Benda,スマートフォン,スマートフォン,sumaatofon,Smartphone,Kata Benda,,,Bentuk lengkap dari スマホ
204,3,Benda,携帯辞書,けいたいじしょ,keitaijisho,Kamus portable,Kata Benda,,,
205,3,Konsep,携帯,けいたい,keitai,Mobile / Portabel,Kata Benda,,,
206,3,Kata Tanya,お国,おくに,okuni,Negara (sopan),Kata Tanya,,,Bentuk hormat dengan awalan お
207,3,Tempat,家,いえ／うち,ie / uchi,Rumah,Kata Benda,,,うち juga dapat digunakan oleh perempuan untuk merujuk ke diri atau keluarga
208,3,Benda,靴,くつ,kutsu,Sepatu,Kata Benda,,,
209,3,Benda,ネクタイ,ネクタイ,nekutai,Dasi / Necktie,Kata Benda,,,
210,3,Benda,ワイン,ワイン,wain,Anggur (Wine),Kata Benda,,,
211,3,Benda,白ワイン,しろワイン,shiro wain,Anggur putih,Kata Benda,,,
212,3,Benda,赤ワイン,あかワイン,aka wain,Anggur merah,Kata Benda,,,
213,3,Tempat,売り場,うりば,uriba,Tempat / bagian penjualan,Kata Benda,,,Digunakan di toko atau department store
214,3,Tempat,地下,ちか,chika,Bawah tanah,Kata Benda,,,
215,3,Satuan Lantai,一階,いっかい,ikkai,Lantai satu,Angka,,,Bacaan khusus
216,3,Satuan Lantai,二階,にかい,nikai,Lantai dua,Angka,,,
217,3,Satuan Lantai,三階,さんがい,sangai,Lantai tiga,Angka,,,Bacaan khusus
218,3,Satuan Lantai,四階,よんかい,yonkai,Lantai empat,Angka,,,
219,3,Satuan Lantai,五階,ごかい,gokai,Lantai lima,Angka,,,
220,3,Satuan Lantai,六階,ろっかい,rokkai,Lantai enam,Angka,,,Bacaan khusus
221,3,Satuan Lantai,七階,ななかい,nanakai,Lantai tujuh,Angka,,,
222,3,Satuan Lantai,八階,はっかい,hakkai,Lantai delapan,Angka,,,Bacaan khusus
223,3,Satuan Lantai,九階,きゅうかい,kyuukai,Lantai sembilan,Angka,,,
224,3,Satuan Lantai,十階,じゅっかい／じっかい,jukkai / jikkai,Lantai sepuluh,Angka,,,Dua pelafalan
225,3,Kata Tanya (Lantai),何階,なんがい,nangai,Lantai berapa?,Kata Tanya,,,Jangan bingung dengan なんかい (berapa kali)
226,3,Kata Tanya (Jumlah),いくら,いくら,ikura,Berapa (harga),Kata Tanya,,,
227,3,Satuan Uang,～円,～えん,~en,Yen,Satuan,,,
228,3,Satuan Uang,～ルピア,～ルピア,~rupia,Rupiah,Satuan,,,
229,3,Angka,百,ひゃく,hyaku,Seratus,Angka,,,
230,3,Angka,千,せん,sen,Seribu,Angka,,,
231,3,Angka,万,まん,man,Sepuluh ribu,Angka,,,
232,3,Ekspresi,すみません,すみません,sumimasen,Permisi / Maaf,Ekspresi,,,Digunakan untuk meminta izin atau memanggil perhatian
233,3,Ekspresi (Toko),いらっしゃいませ,いらっしゃいませ,irasshaimase,Selamat datang (di toko),Ekspresi,,,Digunakan oleh penjaga toko saat menyambut pelanggan
234,3,Ekspresi (Permintaan),～を見せてください,～をみせてください,~o misete kudasai,Tolong perlihatkan ...,Frasa,,,Partikel を menandai objek yang ingin dilihat
235,3,Ekspresi (Respons),じゃ、,じゃ、,ja,"Baiklah, kalau begitu",Ekspresi,,,Umum digunakan untuk menyimpulkan atau transisi
236,3,Ekspresi (Permintaan),～をください,～をください,~o kudasai,Tolong berikan ... (meminta sesuatu),Frasa,,,Partikel を menandai objek yang diminta
237,3,Negara,イタリア,イタリア,itaria,Italia,Kata Benda,,,
238,3,Negara,スイス,スイス,suisu,Swiss,Kata Benda,,,
239,3,Negara,フランス,フランス,furansu,Perancis,Kata Benda,,,
240,3,Kota,ジャカルタ,ジャカルタ,jakaruta,Jakarta,Kata Benda,,,
241,3,Kota,バンコク,バンコク,bankoku,Bangkok,Kata Benda,,,
242,3,Kota,ベルリン,ベルリン,berurin,Berlin,Kata Benda,,,
243,4,Kata Kerja,起きます,おきます,okimasu,Bangun (dari tidur),Kata Kerja,Ichidan (II),Jidoushi (Intransitif),
244,4,Kata Kerja,寝ます,寝ます,nemasu,Tidur (Sendiri/dengan Pasangan),Kata Kerja,Ichidan (II),Jidoushi (Intransitif),
245,4,Kata Kerja,働きます,はたらきます,hatarakimasu,Bekerja,Kata Kerja,Godan (I),Jidoushi (Intransitif),
246,4,Kata Kerja,休みます,やすみます,yasumimasu,Beristirahat / Berlibur / Cuti,Kata Kerja,Godan (I),Tadoushi (Transitif),かいしゃをやすみます＝Tidak masuk kerjaがっこうをやすみます＝Tidak masuk sekolah
247,4,Kata Benda,休み,やすみ,yasumi,Istirahat / Libur / Cuti,Kata Benda,,,Kata benda dari やすみます
248,4,Kata Benda,昼休み,ひるやすみ,hiruyasumi,Istirahat siang,Kata Benda,,,
249,4,Kata Kerja,勉強します,べんきょうします,benkyou shimasu,Belajar,Kata Kerja,Irregular (III),Tadoushi (Transitif),Bentuk ～します dari 勉強（べんきょう）
250,4,Kata Kerja,終わります,おわります,owarimasu,Selesai,Kata Kerja,Godan (I),Jidoushi (Intransitif),
251,4,Tempat,デパート,デパート,depaato,Toserba / Department Store,Kata Benda,,,
252,4,Tempat,郵便局,ゆうびんきょく,yuubinkyoku,Kantor Pos,Kata Benda,,,
253,4,Tempat,図書館,としょかん,toshokan,Perpustakaan,Kata Benda,,,
254,4,Tempat,美術館,びじゅつかん,bijutsukan,Gedung kesenian / Museum seni,Kata Benda,,,
255,4,Waktu,今,いま,ima,Sekarang / Barusan,Kata Benda,,,たったいま = Baru saja
256,4,Penanda Waktu,～時,～じ,~ji,Jam ...,Satuan,,,Contoh: １じ＝いちじ
257,4,Penanda Waktu,～分,～ふん／～ぷん,~fun / ~pun,Menit,Satuan,,,Bacaan berubah tergantung angka
258,4,Penanda Waktu,～秒,～びょう,~byou,Detik,Satuan,,,
259,4,Penanda Waktu,半,はん,han,Setengah,Satuan,,,Contoh: にじはん = Jam setengah 3
260,4,Kata Tanya,何時,なんじ,nanji,Jam berapa,Kata Tanya,,,
261,4,Kata Tanya,何分,なんぷん,nanpun,Menit berapa,Kata Tanya,,,
262,4,Penanda Waktu,午前,ごぜん,gozen,A.M.,Kata Benda,,,Digunakan sebelum jam
263,4,Penanda Waktu,午後,ごご,gogo,P.M.,Kata Benda,,,
264,4,Penanda Waktu,朝,あさ,asa,Pagi,Kata Benda,,,
265,4,Penanda Waktu,昼,ひる,hiru,Siang,Kata Benda,,,
266,4,Penanda Waktu,夕方,ゆうがた,yuugata,Sore,Kata Benda,,,
267,4,Penanda Waktu,晩,ばん,ban,Malam,Kata Benda,,,
268,4,Penanda Waktu,夜,よる,yoru,Malam,Kata Benda,,,
269,4,Makanan,朝ごはん,あさごはん,asagohan,Sarapan,Kata Benda,,,
270,4,Makanan,昼ごはん,ひるごはん,hirugohan,Makan siang,Kata Benda,,,
271,4,Makanan,晩ごはん,ばんごはん,bangohan,Makan malam,Kata Benda,,,
272,4,Waktu,一昨日,おととい,ototoi,Dua hari lalu,Kata Benda,,,
273,4,Waktu,昨日,きのう,kinou,Kemarin,Kata Benda,,,
274,4,Waktu,今日,きょう,kyou,Hari ini,Kata Benda,,,
275,4,Waktu,明日,あした,ashita,Besok,Kata Benda,,,
276,4,Waktu,明後日,あさって,asatte,Lusa,Kata Benda,,,
277,4,Waktu,今朝,けさ,kesa,Tadi pagi,Kata Benda,,,
278,4,Waktu,今晩,こんばん,konban,Malam ini,Kata Benda,,,
279,4,Salam,こんばんは,こんばんは,konbanwa,Selamat malam (menyapa),Ekspresi,,,
